date,delta deaths it,delta healings it,delta infections it
2021-02-01,329,13975,7925
2021-02-02,499,18976,9651
2021-02-03,476,15749,13182
2021-02-04,421,17680,13656
2021-02-05,377,14995,14213
2021-02-06,385,15138,13439
2021-02-07,270,11380,11640
2021-02-08,307,15082,7969
2021-02-09,422,15827,10612
2021-02-10,336,16467,12947
2021-02-11,391,19838,15137
2021-02-12,316,16422,13893
2021-02-13,311,13973,13523
2021-02-14,221,9469,11060
2021-02-15,258,11771,7344
2021-02-16,336,14444,10368
2021-02-17,369,16519,12066
2021-02-18,347,17771,13755
2021-02-19,348,17175,15470
2021-02-20,251,12488,14914
2021-02-21,232,8946,13450
2021-02-22,274,10335,9617
2021-02-23,356,12898,13299
2021-02-24,318,14599,16402
2021-02-25,308,12853,19871
2021-02-26,253,11714,20488
2021-02-27,280,11320,18902
2021-02-28,192,6847,17440
