date,delta deaths it,delta healings it,delta infections it
2021-01-01,462,16877,22210
2021-01-02,364,9166,11825
2021-01-03,347,14746,14245
2021-01-04,348,16206,10798
2021-01-05,649,16023,15375
2021-01-06,548,20227,20326
2021-01-07,414,15659,18416
2021-01-08,620,17575,17529
2021-01-09,483,17040,19976
2021-01-10,361,11174,18625
2021-01-11,448,16035,12530
2021-01-12,616,19565,14242
2021-01-13,507,20532,15773
2021-01-14,522,20115,17243
2021-01-15,477,18979,16144
2021-01-16,475,16186,16310
2021-01-17,377,16510,12544
2021-01-18,377,14763,8825
2021-01-19,603,21428,10496
2021-01-20,524,25015,13568
2021-01-21,521,20519,14055
2021-01-22,472,27676,13633
2021-01-23,488,16062,13331
2021-01-24,299,10885,11628
2021-01-25,420,15787,8559
2021-01-26,541,19256,10584
2021-01-27,467,19172,15191
2021-01-28,492,17220,14360
2021-01-29,477,19879,13563
2021-01-30,421,16764,12713
2021-01-31,237,20396,11249
