date,delta deaths it,delta healings it,delta infections it
2021-03-01,246,10894,13106
2021-03-02,343,10057,17063
2021-03-03,347,14068,20840
2021-03-04,339,13488,22845
2021-03-05,297,13682,24010
2021-03-06,307,13984,23633
2021-03-07,207,13467,20724
2021-03-08,318,13893,13882
2021-03-09,376,12999,19725
2021-03-10,332,13752,22275
2021-03-11,373,15000,25649
2021-03-12,380,14443,26790
2021-03-13,317,14970,26031
2021-03-14,264,9835,21304
2021-03-15,354,15807,15252
2021-03-16,502,14116,20376
2021-03-17,431,19716,23040
2021-03-18,423,15976,24901
2021-03-19,386,16292,25707
2021-03-20,401,14598,23913
2021-03-21,300,13526,20045
2021-03-22,386,32720,24501
2021-03-23,551,20601,18739
2021-03-24,460,20132,21246
2021-03-25,460,21673,23681
2021-03-26,457,19764,24076
2021-03-27,380,18287,23834
2021-03-28,297,17950,19604
2021-03-29,417,19725,12900
2021-03-30,529,18687,16055
2021-03-31,467,23744,23887
